time(sec), throughput(req/sec), avg_lat(ms), min_lat(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms), 90th_lat(ms), 95th_lat(ms), 99th_lat(ms), max_lat(ms), tp (req/s) scaled,time(sec), throughput(req/sec), avg_lat(ms)
360,3.4,5471.507,1277.618,1733.745,2002.414,9851.841,10705.32,12635.102,12635.102,12635.102,0,,,
365,5,4848.741,1005.626,1772.286,3212.917,8634.205,10739.559,10890.125,11290.3,11290.3,0,,,
370,3.4,4841.273,1634.304,1819.053,4473.868,6111.108,10381.22,12340.758,12340.758,12340.758,0,,,
375,4,5388.102,1006.722,1851.81,6069.4,8284.344,10413.16,10763.936,10763.936,10763.936,0,,,
380,3,5281.852,1173.069,4791.003,5510.757,5902.801,8492.264,9092.058,9092.058,9092.058,0,,,
385,4.2,4312.028,1003.347,2562.122,4466.051,5251.438,7289.185,8140.897,8342.542,8342.542,0,,,
390,4.4,5509.504,1585.341,3572.562,4348.314,6805.867,8509.375,9384.734,16215.767,16215.767,0,,,
395,3.2,6534.152,1559.38,3771.965,7454.556,8974.752,10244.498,12975.458,12975.458,12975.458,0,,,
400,3.2,4614.134,1031.207,1434.246,5417.72,6402.997,8795.416,8836.812,8836.812,8836.812,0,,,
405,4.4,5035.384,1005.651,3758.157,5145.18,6940.548,7308.77,7334.077,8353.244,8353.244,0,,,
410,4,5176.146,1027.002,2544.695,5526.661,7713.297,8975.772,11432.343,11432.343,11432.343,0,,,
415,3.8,5694.733,1085.737,1434.549,6612.888,8641.827,9644.329,19650.151,19650.151,19650.151,0,,,
420,3.4,4938.574,1507.977,3413.073,4641.771,7689.876,8366.192,8558.014,8558.014,8558.014,0,,,
425,4,5586.622,1003.864,2453.616,6078.454,9218.652,10147.7,10363.37,10363.37,10363.37,0,,,
430,3.6,3897.571,1004.674,1667.797,4951.992,5695.002,6798.552,7637.642,7637.642,7637.642,0,,,
435,5,4794.137,1004.444,3489.488,4450.58,6930.253,7948.472,8047.316,9736.763,9736.763,0,,,
440,3.4,5028.817,1006.241,4607.16,5058.828,6336.235,7238.942,7549.392,7549.392,7549.392,0,,,
445,4,6079.442,1004.924,4315.959,6453.75,8935.251,10387.827,12375.058,12375.058,12375.058,0,,,
450,3.8,4790.018,1008.021,1794.385,5684.229,7993.829,8595.737,8728.945,8728.945,8728.945,0,,,
455,3.6,5593.373,1004.14,1516.965,5483.857,8645.871,10933.294,11585.494,11585.494,11585.494,0,,,
460,3.6,5201.796,1003.644,1500.677,5543.185,9058.135,9275.531,9575.663,9575.663,9575.663,0,,,
