time(sec), throughput(req/sec), avg_lat(ms), min_lat(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms), 90th_lat(ms), 95th_lat(ms), 99th_lat(ms), max_lat(ms), tp (req/s) scaled
490,881.200,1082.256,994.946,1002.257,1015.747,1016.807,1018.773,1026.498,1083.533,19939.181,0.001
495,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
500,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
505,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
510,379.800,1018.742,999.551,1002.838,1015.991,1017.057,1026.331,1077.015,1158.611,1225.480,0.001
515,1062.000,1014.827,998.023,1002.124,1015.786,1016.844,1023.989,1025.804,1133.979,1156.617,0.001
520,1149.000,1013.551,997.314,1002.062,1015.710,1016.836,1023.851,1026.599,1082.427,1093.623,0.001
525,1160.800,1013.460,994.256,1001.963,1015.594,1016.792,1023.878,1030.771,1075.291,1116.965,0.001
530,1102.400,1014.426,994.933,1002.263,1015.765,1016.814,1024.277,1034.433,1091.835,1129.484,0.001
535,1099.800,1014.191,996.314,1002.268,1015.767,1016.767,1022.660,1032.601,1089.341,1147.740,0.001
540,1105.600,1013.991,995.006,1002.208,1015.680,1016.775,1023.649,1033.423,1086.336,1126.149,0.001
545,1183.000,1013.221,993.225,1001.694,1015.127,1016.702,1021.195,1026.098,1083.933,1215.906,0.001
550,1147.200,1013.652,994.975,1001.641,1014.204,1016.628,1022.650,1033.031,1091.780,1217.159,0.001
555,1018.800,1049.104,999.536,1001.795,1014.101,1016.684,1022.862,1033.219,1099.235,24175.026,0.001
560,540.200,1014.634,999.586,1001.943,1008.229,1016.659,1048.586,1058.388,1092.465,1125.591,0.001
565,547.800,1014.342,999.478,1002.102,1008.337,1016.710,1041.027,1058.000,1083.396,1102.878,0.001
570,501.800,1015.729,999.626,1002.379,1008.601,1016.717,1049.160,1058.927,1092.171,1142.360,0.001
575,146.800,1070.824,999.609,1002.668,1008.711,1017.025,1049.763,1065.605,5977.954,6117.757,0.001
580,795.800,1013.913,995.754,1002.248,1012.922,1016.875,1023.539,1027.418,1100.382,1151.032,0.001
585,1238.200,1012.644,997.137,1001.710,1013.086,1016.633,1021.760,1034.989,1075.882,1108.469,0.001
590,1189.800,1013.155,995.255,1001.706,1014.203,1016.664,1018.620,1026.061,1107.179,1200.756,0.001
595,957.000,1012.995,992.044,1001.461,1013.833,1016.788,1022.910,1047.417,1091.043,1132.500,0.001
